[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '2.185', 'grad_norm': '29.76', 'learning_rate': '4.348e-05', 'epoch': '0.3912'}
{'loss': '2.288', 'grad_norm': '19.18', 'learning_rate': '4.345e-05', 'epoch': '0.3932'}
{'loss': '1.919', 'grad_norm': '8.896', 'learning_rate': '4.342e-05', 'epoch': '0.3952'}
{'loss': '2.152', 'grad_norm': '15.33', 'learning_rate': '4.338e-05', 'epoch': '0.3972'}
{'loss': '1.928', 'grad_norm': '19.45', 'learning_rate': '4.335e-05', 'epoch': '0.3992'}
{'loss': '2.288', 'grad_norm': '10.44', 'learning_rate': '4.332e-05', 'epoch': '0.4012'}
{'loss': '2.241', 'grad_norm': '13.92', 'learning_rate': '4.328e-05', 'epoch': '0.4033'}
{'loss': '2.107', 'grad_norm': '17.16', 'learning_rate': '4.325e-05', 'epoch': '0.4053'}
{'loss': '2.064', 'grad_norm': '11.2', 'learning_rate': '4.322e-05', 'epoch': '0.4073'}
{'loss': '2.023', 'grad_norm': '11.58', 'learning_rate': '4.318e-05', 'epoch': '0.4093'}
{'loss': '1.943', 'grad_norm': '14.18', 'learning_rate': '4.315e-05', 'epoch': '0.4113'}
{'loss': '2.119', 'grad_norm': '11.39', 'learning_rate': '4.312e-05', 'epoch': '0.4133'}
{'loss': '1.792', 'grad_norm': '10.81', 'learning_rate': '4.308e-05', 'epoch': '0.4153'}
{'loss': '2.348', 'grad_norm': '26.79', 'learning_rate': '4.305e-05', 'epoch': '0.4173'}

 18%|█▊        | 2710/14955 [11:48<53:31,  3.81it/s]
{'loss': '1.919', 'grad_norm': '15.76', 'learning_rate': '4.298e-05', 'epoch': '0.4213'}
{'loss': '2.184', 'grad_norm': '14.82', 'learning_rate': '4.295e-05', 'epoch': '0.4233'}
{'loss': '2.424', 'grad_norm': '14.41', 'learning_rate': '4.292e-05', 'epoch': '0.4253'}
{'loss': '1.998', 'grad_norm': '16.08', 'learning_rate': '4.288e-05', 'epoch': '0.4273'}
{'loss': '2.219', 'grad_norm': '6.834', 'learning_rate': '4.285e-05', 'epoch': '0.4293'}
{'loss': '2.087', 'grad_norm': '10.54', 'learning_rate': '4.282e-05', 'epoch': '0.4313'}
{'loss': '2.313', 'grad_norm': '37.85', 'learning_rate': '4.278e-05', 'epoch': '0.4333'}
{'loss': '2.255', 'grad_norm': '16.97', 'learning_rate': '4.275e-05', 'epoch': '0.4353'}
{'loss': '2.217', 'grad_norm': '15.48', 'learning_rate': '4.271e-05', 'epoch': '0.4374'}
{'loss': '1.965', 'grad_norm': '11.39', 'learning_rate': '4.268e-05', 'epoch': '0.4394'}
{'loss': '1.863', 'grad_norm': '8.852', 'learning_rate': '4.265e-05', 'epoch': '0.4414'}
{'loss': '2.196', 'grad_norm': '13.86', 'learning_rate': '4.261e-05', 'epoch': '0.4434'}
{'loss': '2.129', 'grad_norm': '15.37', 'learning_rate': '4.258e-05', 'epoch': '0.4454'}
{'loss': '1.841', 'grad_norm': '16.34', 'learning_rate': '4.255e-05', 'epoch': '0.4474'}
